iter	Passed	Remaining
0	1	121
1	2	118
2	3	115
3	4	105
4	5	101
5	6	99
6	7	100
7	8	98
8	9	98
9	10	96
10	11	95
11	12	95
12	14	94
13	14	92
14	15	90
15	16	89
16	18	88
17	19	88
18	20	86
19	21	86
20	22	84
21	23	83
22	24	82
23	25	81
24	26	80
25	28	79
26	29	78
27	30	77
28	31	76
29	32	75
30	33	74
31	34	73
32	35	72
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	58
44	46	57
45	47	56
46	48	55
47	49	54
48	53	56
49	64	64
50	99	95
51	101	93
52	111	98
53	113	96
54	113	93
55	115	90
56	117	88
57	118	86
58	121	84
59	124	82
60	125	80
61	127	77
62	129	76
63	131	74
64	132	71
65	134	69
66	135	66
67	136	64
68	137	61
69	138	59
70	139	57
71	140	54
72	142	52
73	143	50
74	146	48
75	149	47
76	151	45
77	154	43
78	158	42
79	159	39
80	161	37
81	162	35
82	163	33
83	164	31
84	165	29
85	166	27
86	168	25
87	169	23
88	170	21
89	171	19
90	172	17
91	174	15
92	175	13
93	176	11
94	178	9
95	180	7
96	181	5
97	182	3
98	183	1
99	184	0
